Date,Total_Consumption,Predicted_Consumption,MAE
2021-05-09,44.1,28.343788154270445,15.756211845729556
2021-05-10,48.3,59.77845499731194,-11.478454997311943
2021-05-11,37.8,41.43507858115279,-3.63507858115279
2021-05-13,41.7,40.99307309093763,0.7069269090623749
2021-05-14,37.8,40.83496022217424,-3.0349602221742416
2021-05-15,53.1,42.641351327079356,10.458648672920646
2021-05-16,60.900000000000006,54.02149783115359,6.878502168846417
2021-05-17,35.7,37.41393693465698,-1.713936934656978
2021-05-18,30.0,58.372690832929486,-28.372690832929486
2021-05-19,37.8,40.3948208135108,-2.5948208135108004
2021-05-20,26.1,42.98775298176498,-16.887752981764976
2021-05-21,33.3,42.37224220893182,-9.072242208931826
2021-05-22,56.7,34.38663139179564,22.313368608204364
2021-05-23,41.7,41.44842724405074,0.25157275594926176
2021-05-24,47.400000000000006,35.299640574134266,12.10035942586574
2021-05-25,33.599999999999994,61.727638077643626,-28.12763807764363
2021-05-26,52.5,39.719670492451584,12.780329507548416
2021-05-27,35.7,49.3908030203106,-13.690803020310597
2021-05-28,34.2,47.52804760219324,-13.328047602193237
2021-05-29,54.900000000000006,37.81810466431043,17.081895335689573
2021-05-30,50.7,46.650492444466686,4.049507555533317
2021-05-31,39.6,36.47833584252074,3.121664157479259
2021-06-01,48.6,58.60813485309264,-10.008134853092642
2021-06-02,76.19999999999999,43.06487864905032,33.13512135094967
2021-06-03,21.6,54.84478911438436,-33.24478911438436
2021-06-04,40.8,47.647372403828136,-6.847372403828139
2021-06-05,26.4,42.417325953419024,-16.017325953419025
2021-06-06,69.30000000000001,39.652642413196766,29.647357586803246
2021-06-07,29.700000000000003,38.187102728830055,-8.487102728830052
2021-06-08,20.700000000000003,50.0569700847217,-29.356970084721695
2021-06-09,41.400000000000006,32.56405415461379,8.835945845386213
2021-06-10,31.8,39.1893079577274,-7.3893079577274
2021-06-11,49.5,39.229837402355244,10.270162597644756
2021-06-13,63.3,43.194623535914424,20.105376464085573
2021-06-14,33.3,44.52888854440417,-11.228888544404171
2021-06-15,30.6,36.77435948251442,-6.174359482514419
2021-06-16,56.7,47.377518385247285,9.322481614752718
2021-06-17,27.3,43.40592049211909,-16.105920492119086
2021-06-18,34.2,36.47391870684952,-2.273918706849514
2021-06-19,46.5,39.92311313159342,6.576886868406582
2021-06-20,47.7,38.52949392929616,9.170506070703844
2021-06-21,56.1,47.978483777391915,8.121516222608086
2021-06-22,57.0,38.67740005398771,18.32259994601229
2021-06-23,63.0,50.95009241373813,12.049907586261867
2021-06-24,36.900000000000006,55.74891591385734,-18.848915913857333
2021-06-25,32.7,45.18710576016241,-12.487105760162407
2021-06-26,41.400000000000006,47.53526835640121,-6.135268356401205
2021-06-27,48.3,45.20281189811174,3.097188101888257
2021-06-28,42.3,47.437017060304306,-5.137017060304309
2021-06-29,53.400000000000006,35.954922795613875,17.44507720438613
2021-06-30,39.3,52.76014142356727,-13.460141423567272
2021-07-01,31.5,46.641680049492166,-15.141680049492166
2021-07-02,47.400000000000006,39.38350901152348,8.016490988476527
2021-07-03,37.2,49.36001809223315,-12.160018092233145
2021-07-04,42.0,44.44526232722238,-2.4452623272223803
2021-07-05,31.5,47.27051213182218,-15.77051213182218
2021-07-06,28.200000000000003,33.46104584933758,-5.261045849337577
2021-07-07,25.200000000000003,44.61055532883026,-19.410555328830256
2021-07-08,16.200000000000003,34.60936371916994,-18.40936371916994
2021-07-09,34.8,24.937924065478658,9.86207593452134
2021-07-10,39.0,34.946555064744224,4.053444935255776
2021-07-11,34.2,35.28851613709073,-1.0885161370907284
2021-07-13,46.5,37.17448516686741,9.325514833132587
2021-07-14,34.5,33.069327968733695,1.4306720312663046
2021-07-15,39.0,40.90826888807511,-1.9082688880751135
2021-07-16,21.3,36.9952567673781,-15.695256767378101
2021-07-17,20.4,28.5601883775314,-8.160188377531401
2021-07-18,19.5,31.241824912629504,-11.741824912629504
2021-07-19,20.700000000000003,28.78146581871673,-8.081465818716726
2021-07-20,22.5,26.339170711017438,-3.839170711017438
2021-07-21,32.7,22.09692177042026,10.603078229579744
2021-07-22,35.7,27.940783326301062,7.7592166736989405
2021-07-23,37.2,26.677145920539477,10.522854079460526
2021-07-24,31.200000000000003,29.842308614660855,1.3576913853391481
2021-07-25,37.5,35.04724284528028,2.45275715471972
2021-07-26,26.1,35.287601651697535,-9.187601651697534
2021-07-27,24.3,33.504031505384496,-9.204031505384496
2021-07-28,23.4,25.013690770896627,-1.6136907708966284
2021-07-29,16.799999999999997,29.588561188654563,-12.788561188654565
2021-07-30,16.799999999999997,20.5978848095971,-3.797884809597104
2021-07-31,,15.104174623485214,
2021-08-01,,30.82540813010045,
2021-08-02,,34.15579969426246,
2021-08-03,,37.35892082522247,
2021-08-04,,25.388434902446573,
2021-08-05,,47.25502150219644,
2021-08-06,,25.34426286389469,
2021-08-07,,21.49994209917265,
2021-08-08,,21.18444876467957,
2021-08-09,,29.879630511291634,
2021-08-10,,22.518102665820805,
2021-08-11,,12.757992492427013,
2021-08-12,,26.19530578334122,
2021-08-13,,24.99759773170638,
2021-08-14,,21.6323094966055,
2021-08-15,,43.23185377050944,
2021-08-16,,24.00847356413606,
2021-08-17,,56.6045017518363,
2021-08-18,,33.32008923152935,
2021-08-19,,28.646537357467373,
2021-08-20,,26.39697099864774,
2021-08-21,,30.708835472925504,
2021-08-22,,31.567963716417392,
2021-08-23,,31.058505847958774,
2021-08-24,,40.85715008183739,
2021-08-25,,39.33098505254962,
2021-08-26,,20.936596807378812,
2021-08-27,,20.311548991307,
2021-08-28,,21.363784180049112,
2021-08-29,,41.830056954143245,
2021-08-30,,29.552816820108887,
2021-08-31,,26.627994493496388,
2021-09-01,,19.841049310933705,
2021-09-02,,14.160705676426971,
2021-09-03,,23.565357720047864,
2021-09-04,,24.708887162567596,
2021-09-05,,29.563554841278584,
2021-09-06,,22.149608482164304,
2021-09-07,,14.045625380302535,
2021-09-08,,12.189386773315535,
2021-09-09,,13.132582594457995,
2021-09-10,,47.70570589742501,
2021-09-11,,21.587186632645782,
2021-09-12,,11.312243897110339,
2021-09-13,,29.764533438260194,
2021-09-14,,26.03791747275796,
2021-09-15,,23.763308533122903,
2021-09-16,,15.768052097118018,
2021-09-17,,11.316106772339019,
2021-09-18,,20.912138606901475,
2021-09-19,,23.05172628286956,
2021-09-20,,12.223606436877152,
2021-09-21,,15.072937542524572,
2021-09-22,,21.288361646163917,
2021-09-23,,13.83781819597335,
2021-09-24,,16.1659905157568,
2021-09-25,,32.14880576500603,
2021-09-26,,20.260183031315457,
2021-09-27,,20.475119548834456,
2021-09-28,,12.24214320698899,
2021-09-29,,18.179108190183094,
2021-09-30,,8.335534501312418,
