Date,Total_Consumption
2017-12-16,5.7
2017-12-17,20.6
2017-12-18,12.9
2017-12-19,15.5
2017-12-20,12.0
2017-12-21,11.6
2017-12-22,13.4
2017-12-23,23.3
2017-12-24,17.8
2017-12-25,20.0
2017-12-26,20.0
2017-12-27,6.8
2017-12-28,15.4
2017-12-29,19.8
2017-12-30,22.9
2017-12-31,15.0
2018-01-01,11.8
2018-01-02,9.2
2018-01-03,2.5
2018-01-04,21.8
2018-01-05,12.3
2018-01-06,5.0
2018-01-07,6.1
2018-01-08,6.2
2018-01-09,10.4
2018-01-10,15.4
2018-01-11,2.4
2018-01-12,22.9
2018-01-13,24.4
2018-01-14,18.9
2018-01-15,12.4
2018-01-16,9.9
2018-01-17,21.2
2018-01-18,8.0
2018-01-19,8.7
2018-01-20,23.0
2018-01-21,30.6
2018-01-22,13.2
2018-01-23,8.6
2018-01-24,18.5
2018-01-25,8.1
2018-01-26,8.2
2018-01-27,13.6
2018-01-28,20.6
2018-01-29,9.8
2018-01-30,9.8
2018-01-31,15.9
2018-02-01,5.7
2018-02-02,7.4
2018-02-03,2.5
2018-02-04,11.0
2018-02-05,6.0
2018-02-06,11.7
2018-02-07,10.5
2018-02-08,4.9
2018-02-09,12.5
2018-02-10,17.9
2018-02-11,9.5
2018-02-12,21.4
2018-02-13,8.8
2018-02-14,17.6
2018-02-15,10.7
2018-02-16,9.3
2018-02-17,12.8
2018-02-18,30.3
2018-02-19,13.8
2018-02-20,20.5
2018-02-21,14.6
2018-02-22,19.7
2018-02-23,6.0
2018-02-24,3.4
2018-02-25,2.4
2018-02-26,2.7
2018-02-27,2.5
2018-02-28,2.5
2018-03-01,22.799999999999997
2018-03-02,90.0
2018-03-03,17.4
2018-03-04,42.599999999999994
2018-03-05,32.099999999999994
2018-03-06,73.19999999999999
2018-03-07,33.0
2018-03-08,22.5
2018-03-09,31.5
2018-03-10,41.400000000000006
2018-03-11,11.100000000000001
2018-03-12,32.7
2018-03-13,37.8
2018-03-14,41.7
2018-03-15,40.8
2018-03-16,44.7
2018-03-17,39.0
2018-03-18,82.80000000000001
2018-03-19,46.8
2018-03-20,53.699999999999996
2018-03-21,51.300000000000004
2018-03-22,26.700000000000003
2018-03-23,27.599999999999998
2018-03-24,74.69999999999999
2018-03-25,77.4
2018-03-26,29.700000000000003
2018-03-27,30.0
2018-03-28,67.5
2018-03-29,33.900000000000006
2018-03-30,30.900000000000002
2018-03-31,85.80000000000001
2018-04-01,82.19999999999999
2018-04-02,83.69999999999999
2018-04-03,70.19999999999999
2018-04-04,50.400000000000006
2018-04-05,34.8
2018-04-06,36.3
2018-04-07,45.900000000000006
2018-04-08,28.200000000000003
2018-04-09,53.400000000000006
2018-04-10,38.099999999999994
2018-04-11,42.599999999999994
2018-04-12,57.599999999999994
2018-04-13,20.1
2018-04-14,20.4
2018-04-15,25.5
2018-04-16,33.0
2018-04-17,38.099999999999994
2018-04-18,31.200000000000003
2018-04-19,31.5
2018-04-20,26.099999999999998
2018-04-21,58.800000000000004
2018-04-22,68.69999999999999
2018-04-23,30.0
2018-04-24,28.799999999999997
2018-04-25,33.3
2018-04-26,38.7
2018-04-27,33.3
2018-04-28,0.6000000000000001
2018-04-30,16.200000000000003
2018-05-01,52.5
2018-05-02,42.3
2018-05-03,102.89999999999999
2018-05-04,58.199999999999996
2018-05-05,49.800000000000004
2018-05-06,54.900000000000006
2018-05-07,43.5
2018-05-08,22.5
2018-05-09,39.599999999999994
2018-05-10,30.0
2018-05-11,33.900000000000006
2018-05-12,51.900000000000006
2018-05-13,56.099999999999994
2018-05-14,58.800000000000004
2018-05-15,21.299999999999997
2018-05-16,56.099999999999994
2018-05-17,35.099999999999994
2018-05-18,55.5
2018-05-19,46.8
2018-05-20,61.199999999999996
2018-05-21,24.599999999999998
2018-05-22,39.0
2018-05-23,45.599999999999994
2018-05-24,40.2
2018-05-25,60.0
2018-05-26,48.300000000000004
2018-05-27,74.4
2018-05-28,47.7
2018-05-29,28.200000000000003
2018-05-30,56.400000000000006
2018-05-31,26.099999999999998
2018-06-01,39.3
2018-06-02,31.799999999999997
2018-06-03,35.099999999999994
2018-06-04,47.400000000000006
2018-06-05,54.0
2018-06-06,51.900000000000006
2018-06-07,49.800000000000004
2018-06-08,29.099999999999998
2018-06-09,36.599999999999994
2018-06-10,51.900000000000006
2018-06-11,61.5
2018-06-12,59.099999999999994
2018-06-13,33.3
2018-06-14,50.099999999999994
2018-06-15,51.0
2018-06-16,72.30000000000001
2018-06-17,70.5
2018-06-18,24.0
2018-06-19,29.700000000000003
2018-06-20,44.400000000000006
2018-06-21,37.5
2018-06-22,26.400000000000002
2018-06-23,23.4
2018-06-24,25.5
2018-06-25,45.599999999999994
2018-06-26,33.0
2018-06-27,61.800000000000004
2018-06-28,46.2
2018-06-29,47.7
2018-06-30,42.900000000000006
2018-07-01,72.9
2018-07-02,57.900000000000006
2018-07-03,55.199999999999996
2018-07-04,38.7
2018-07-05,46.8
2018-07-06,25.799999999999997
2018-07-07,39.3
2018-07-08,32.7
2018-07-09,38.099999999999994
2018-07-10,66.0
2018-07-11,48.300000000000004
2018-07-12,41.400000000000006
2018-07-13,21.9
2018-07-14,45.599999999999994
2018-07-15,27.0
2018-07-16,26.700000000000003
2018-07-17,22.5
2018-07-18,22.200000000000003
2018-07-19,23.1
2018-07-20,38.400000000000006
2018-07-21,27.599999999999998
2018-07-22,55.800000000000004
2018-07-23,28.799999999999997
2018-07-24,21.0
2018-07-25,11.7
2018-07-26,31.200000000000003
2018-07-27,26.700000000000003
2018-07-28,63.0
2018-07-29,9.899999999999999
2018-07-30,12.299999999999999
2018-07-31,27.299999999999997
2018-08-01,30.299999999999997
2018-08-02,30.900000000000002
2018-08-03,37.5
2018-08-04,22.200000000000003
2018-08-05,43.5
2018-08-06,71.4
2018-08-07,28.799999999999997
2018-08-08,21.6
2018-08-09,35.099999999999994
2018-08-10,15.600000000000001
2018-08-11,25.799999999999997
2018-08-12,39.0
2018-08-13,17.1
2018-08-14,17.700000000000003
2018-08-15,18.299999999999997
2018-08-16,15.600000000000001
2018-08-17,14.100000000000001
2018-08-18,5.1
2018-08-19,48.599999999999994
2018-08-20,41.7
2018-08-21,9.0
2018-08-22,30.599999999999998
2018-08-23,23.1
2018-08-24,39.0
2018-08-25,35.099999999999994
2018-08-26,33.900000000000006
2018-08-27,27.299999999999997
2018-08-28,24.0
2018-08-29,15.0
2018-08-30,35.400000000000006
2018-08-31,22.5
2018-09-01,42.3
2018-09-02,30.0
2018-09-03,20.700000000000003
2018-09-04,22.799999999999997
2018-09-05,48.300000000000004
2018-09-06,18.6
2018-09-07,20.4
2018-09-08,28.5
2018-09-09,42.3
2018-09-10,34.5
2018-09-11,41.7
2018-09-12,49.5
2018-09-13,26.700000000000003
2018-09-14,20.1
2018-09-15,19.200000000000003
2018-09-16,40.5
2018-09-17,42.3
2018-09-18,27.299999999999997
2018-09-19,25.5
2018-09-20,21.0
2018-09-21,34.2
2018-09-22,22.5
2018-09-23,33.599999999999994
2018-09-24,32.7
2018-09-25,32.400000000000006
2018-09-26,55.199999999999996
2018-09-27,23.1
2018-09-28,36.3
2018-09-29,64.5
2018-09-30,25.799999999999997
2018-10-01,43.8
2018-10-02,60.300000000000004
2018-10-03,61.199999999999996
2018-10-04,13.5
2018-10-05,14.399999999999999
2018-10-06,36.3
2018-10-07,19.5
2018-10-08,22.799999999999997
2018-10-09,19.799999999999997
2018-10-10,27.299999999999997
2018-10-11,45.900000000000006
2018-10-12,27.0
2018-10-13,39.3
2018-10-14,57.900000000000006
2018-10-15,20.700000000000003
2018-10-16,49.199999999999996
2018-10-17,24.900000000000002
2018-10-18,24.0
2018-10-19,39.900000000000006
2018-10-20,29.099999999999998
2018-10-21,49.199999999999996
2018-10-22,21.9
2018-10-23,43.8
2018-10-24,38.7
2018-10-25,35.400000000000006
2018-10-26,20.1
2018-10-27,42.0
2018-10-28,7.5
2018-10-29,7.800000000000001
2018-10-30,16.200000000000003
2018-10-31,30.599999999999998
2018-11-01,39.3
2018-11-02,67.19999999999999
2018-11-03,68.4
2018-11-04,14.700000000000001
2018-11-05,17.4
2018-11-06,12.0
2018-11-07,14.399999999999999
2018-11-08,20.4
2018-11-09,17.1
2018-11-10,31.200000000000003
2018-11-11,35.099999999999994
2018-11-12,43.5
2018-11-13,45.599999999999994
2018-11-14,29.700000000000003
2018-11-15,25.5
2018-11-16,48.900000000000006
2018-11-17,47.099999999999994
2018-11-18,49.199999999999996
2018-11-19,25.799999999999997
2018-11-20,41.099999999999994
2018-11-21,27.0
2018-11-22,33.900000000000006
2018-11-23,56.699999999999996
2018-11-24,40.8
2018-11-25,29.099999999999998
2018-11-26,24.0
2018-11-27,71.4
2018-11-28,26.400000000000002
2018-11-29,28.5
2018-11-30,53.099999999999994
2018-12-01,6.6
2018-12-02,10.6
2018-12-03,12.5
2018-12-04,2.8
2018-12-05,9.6
2018-12-06,6.5
2018-12-07,8.2
2018-12-08,7.7
2018-12-09,8.8
2018-12-10,14.2
2018-12-11,14.2
2018-12-12,8.0
2018-12-13,10.4
2018-12-14,13.1
2018-12-15,16.9
2018-12-16,17.2
2018-12-17,9.3
2018-12-18,17.9
2018-12-19,13.0
2018-12-20,10.2
2018-12-21,9.6
2018-12-22,19.3
2018-12-23,15.1
2018-12-24,14.7
2018-12-25,19.2
2018-12-26,14.6
2018-12-27,16.3
2018-12-28,23.5
2018-12-29,21.0
2018-12-30,17.9
2018-12-31,12.8
2019-01-01,16.7
2019-01-02,7.1
2019-01-03,6.0
2019-01-04,16.7
2019-01-05,3.0
2019-01-06,10.3
2019-01-07,9.4
2019-01-08,5.1
2019-01-09,6.8
2019-01-10,15.9
2019-01-11,4.1
2019-01-12,8.2
2019-01-13,19.0
2019-01-14,14.9
2019-01-15,19.0
2019-01-16,13.7
2019-01-17,8.0
2019-01-18,11.1
2019-01-19,17.0
2019-01-20,9.6
2019-01-21,8.3
2019-01-22,22.3
2019-01-23,9.5
2019-01-24,8.5
2019-01-25,11.8
2019-01-26,17.3
2019-01-27,17.6
2019-01-28,11.2
2019-01-29,19.0
2019-01-30,7.2
2019-01-31,9.8
2019-02-01,10.0
2019-02-02,21.5
2019-02-03,10.2
2019-02-04,12.0
2019-02-05,10.0
2019-02-06,6.2
2019-02-07,6.8
2019-02-08,2.8
2019-02-09,11.4
2019-02-10,6.1
2019-02-11,4.5
2019-02-12,7.8
2019-02-13,14.2
2019-02-14,8.3
2019-02-15,11.2
2019-02-16,13.4
2019-02-17,13.6
2019-02-18,6.6
2019-02-19,15.5
2019-02-20,18.7
2019-02-21,7.2
2019-02-22,10.4
2019-02-23,11.7
2019-02-24,6.3
2019-02-25,2.4
2019-02-26,2.4
2019-02-27,2.7
2019-02-28,2.4
2019-02-28,9.3
2019-03-01,30.299999999999997
2019-03-02,53.699999999999996
2019-03-03,24.599999999999998
2019-03-04,21.0
2019-03-05,30.0
2019-03-06,45.3
2019-03-07,34.5
2019-03-08,15.899999999999999
2019-03-09,35.400000000000006
2019-03-10,43.2
2019-03-11,20.700000000000003
2019-03-12,31.799999999999997
2019-03-13,47.7
2019-03-14,49.5
2019-03-15,36.3
2019-03-16,39.599999999999994
2019-03-17,50.099999999999994
2019-03-18,46.2
2019-03-19,30.599999999999998
2019-03-20,26.099999999999998
2019-03-21,57.0
2019-03-22,46.2
2019-03-23,61.5
2019-03-24,52.199999999999996
2019-03-25,48.900000000000006
2019-03-26,45.599999999999994
2019-03-27,23.4
2019-03-28,47.7
2019-03-29,55.5
2019-03-30,54.0
2019-03-31,27.599999999999998
2019-04-01,59.099999999999994
2019-04-02,32.7
2019-04-03,40.2
2019-04-04,38.400000000000006
2019-04-05,49.800000000000004
2019-04-06,60.0
2019-04-07,28.200000000000003
2019-04-08,45.0
2019-04-09,35.099999999999994
2019-04-10,54.900000000000006
2019-04-11,48.0
2019-04-12,34.2
2019-04-13,69.9
2019-04-14,32.7
2019-04-15,50.099999999999994
2019-04-16,31.799999999999997
2019-04-17,35.099999999999994
2019-04-18,55.5
2019-04-19,67.5
2019-04-20,56.400000000000006
2019-04-21,36.0
2019-04-22,53.400000000000006
2019-04-23,36.900000000000006
2019-04-24,31.5
2019-04-25,36.599999999999994
2019-04-26,25.799999999999997
2019-04-27,31.5
2019-04-28,22.799999999999997
2019-04-29,61.5
2019-04-30,31.799999999999997
2019-05-01,44.7
2019-05-02,69.30000000000001
2019-05-03,69.30000000000001
2019-05-04,51.599999999999994
2019-05-05,35.400000000000006
2019-05-06,33.0
2019-05-07,61.800000000000004
2019-05-08,27.900000000000002
2019-05-09,24.599999999999998
2019-05-10,43.2
2019-05-11,113.39999999999999
2019-05-12,38.099999999999994
2019-05-13,51.300000000000004
2019-05-14,58.800000000000004
2019-05-15,37.5
2019-05-16,53.400000000000006
2019-05-17,51.300000000000004
2019-05-18,63.900000000000006
2019-05-19,31.200000000000003
2019-05-20,45.3
2019-05-21,38.7
2019-05-22,29.700000000000003
2019-05-23,36.3
2019-05-24,46.5
2019-05-25,87.6
2019-05-26,38.400000000000006
2019-05-27,53.699999999999996
2019-05-28,43.2
2019-05-29,33.599999999999994
2019-05-30,40.8
2019-05-31,52.199999999999996
2019-06-01,45.3
2019-06-02,37.2
2019-06-03,43.5
2019-06-04,43.8
2019-06-05,57.900000000000006
2019-06-06,33.599999999999994
2019-06-07,70.5
2019-06-08,22.200000000000003
2019-06-09,70.19999999999999
2019-06-10,31.5
2019-06-11,38.400000000000006
2019-06-12,75.30000000000001
2019-06-13,75.9
2019-06-14,52.5
2019-06-15,90.30000000000001
2019-06-16,39.599999999999994
2019-06-17,32.400000000000006
2019-06-18,76.80000000000001
2019-06-19,49.5
2019-06-20,56.400000000000006
2019-06-21,60.300000000000004
2019-06-22,60.0
2019-06-23,41.7
2019-06-24,60.599999999999994
2019-06-25,48.599999999999994
2019-06-26,34.8
2019-06-27,61.800000000000004
2019-06-28,37.8
2019-06-29,28.200000000000003
2019-06-30,26.400000000000002
2019-07-01,31.200000000000003
2019-07-02,24.900000000000002
2019-07-03,43.5
2019-07-04,35.099999999999994
2019-07-05,27.900000000000002
2019-07-06,47.400000000000006
2019-07-07,30.299999999999997
2019-07-08,16.200000000000003
2019-07-09,41.400000000000006
2019-07-10,35.099999999999994
2019-07-11,29.700000000000003
2019-07-12,49.800000000000004
2019-07-13,38.400000000000006
2019-07-14,37.8
2019-07-15,27.900000000000002
2019-07-16,36.3
2019-07-17,33.599999999999994
2019-07-18,30.0
2019-07-19,45.0
2019-07-20,29.099999999999998
2019-07-21,29.099999999999998
2019-07-22,18.299999999999997
2019-07-23,24.599999999999998
2019-07-24,26.099999999999998
2019-07-25,24.599999999999998
2019-07-26,23.1
2019-07-27,31.5
2019-07-28,21.6
2019-07-29,31.5
2019-07-30,37.8
2019-07-31,42.3
2019-08-01,43.5
2019-08-02,33.900000000000006
2019-08-03,49.199999999999996
2019-08-04,74.1
2019-08-05,40.5
2019-08-06,37.5
2019-08-07,19.5
2019-08-08,6.300000000000001
2019-08-09,26.099999999999998
2019-08-10,42.3
2019-08-11,35.7
2019-08-12,27.900000000000002
2019-08-13,6.0
2019-08-14,5.699999999999999
2019-08-15,5.699999999999999
2019-08-16,5.699999999999999
2019-08-17,5.699999999999999
2019-08-18,5.699999999999999
2019-08-19,5.699999999999999
2019-08-20,5.699999999999999
2019-08-21,5.4
2019-08-22,5.699999999999999
2019-08-23,5.4
2019-08-24,5.4
2019-08-25,5.1
2019-08-26,5.4
2019-08-27,5.4
2019-08-28,5.699999999999999
2019-08-29,5.699999999999999
2019-08-30,5.699999999999999
2019-08-31,37.2
2019-09-01,27.299999999999997
2019-09-02,41.400000000000006
2019-09-03,29.099999999999998
2019-09-04,16.799999999999997
2019-09-05,30.900000000000002
2019-09-06,30.299999999999997
2019-09-07,16.799999999999997
2019-09-08,7.199999999999999
2019-09-09,17.700000000000003
2019-09-10,37.8
2019-09-11,54.300000000000004
2019-09-12,39.0
2019-09-13,40.5
2019-09-14,36.3
2019-09-15,26.400000000000002
2019-09-16,17.1
2019-09-17,36.900000000000006
2019-09-18,33.599999999999994
2019-09-19,25.5
2019-09-20,18.0
2019-09-21,39.599999999999994
2019-09-22,28.200000000000003
2019-09-23,22.799999999999997
2019-09-24,42.599999999999994
2019-09-25,20.4
2019-09-26,23.700000000000003
2019-09-27,48.599999999999994
2019-09-28,29.400000000000002
2019-09-29,23.700000000000003
2019-09-30,21.9
2019-10-01,29.400000000000002
2019-10-02,44.7
